Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
2033,1795058,Clarissa Goodwin,Mr,Male,1,Married,124,2021-08-13,4/5/2022,Inactive,4/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1996
2034,1795059,Bridgette Halvorson,Mr,Male,1,Married,124,2021-08-13,5/5/2022,Inactive,5/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1990
2036,5326,Mckenzie Bruen,Mr,Male,1,Married,168,2021-08-17,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Planning Executive,1982
2040,5327,Norma Hartmann MD,Mr,Male,1,Single,158,2021-08-19,4/30/2022,Inactive,4/30/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1995
2043,193176,Ms Pearlie Hettinger Sr,Mr,Male,1,Single,31,2021-08-17,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993
2044,1795062,Mireille Bergnaum,Mr,Male,1,Married,124,2021-08-20,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1963
2045,1795063,Allene Larson,Mr,Male,1,Married,124,2021-08-20,6/6/2022,Inactive,6/6/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1968
2048,1795065,Prof Patrick Kohler,Mr,Male,1,Married,31,2021-08-21,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991
2049,1795066,Prof Lonie O'Hara,Mr,Male,1,Single,31,2021-08-21,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991
2050,1795067,Laverne Hudson,Mr,Male,1,Married,124,2021-08-21,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1975
2053,1795070,Rachelle Kling,Mr,Male,1,Married,31,2021-08-21,11/30/2022,Inactive,11/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
2054,1795071,Mrs Stacy Larson,Mr,Male,1,Married,31,2021-08-23,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966
